date,message
2022-04-29,"супутниковий знімок від 29 квітня, база чф рф у севастополі, підводний човен проекту 636 варшавянка. відбувається процес навантаження, імовірно ракетами калібр флот знімок від 27 квітня, база вмф рф гаджиєво. 5 субмарин, пларб/рпксн, що мають можливість нести ядерні боєголовки, перебувають на своїх звичних місцях. жодних змін на об'єкті не спостерігається.  яо флот"
2022-04-30,"координати місця, звідки був проведений запуск ракет онікс берегового комплексу бастіон-п по аеропорту в одесі. 45.39011174000645, 32.49325550950899 срзо розвідувальна діяльність авіації сша в чорноморському регіоні rq-4b global hawk (forte-10/11-2046) і cl-60 (brio-68) зараз у повітрі авіація"
2022-05-01,upd. - два бдк перебувають біля західного берега криму. - 3х артилерійських катери в затоці донузлав. - 4х десантних катери в затоці донузлав.  таке скупчення десантних кораблів може свідчити про підготовку екіпажів до подібних операцій. флот
2022-05-02,upd. місцезнаходження підбитих катерів два катери раптор знищено біля берегів острова зміїний за допомогою байрактарів - суспільне флот
2022-05-03, виліт стратегічних бомбардувальників ту-95мс. є ймовірність запуску крилатих ракет з боку саратова / каспійського моря.
2022-05-04, 21:26 підводний човен проєкту 636 варшав'янка вийшов із бухти севастополя.  повідомляють про вильоти в бік миколаєва.  upd. обстрілюють із рсзв
2022-05-05," імовірно цілі на заході україни. львів, закарпаття - не ігноруйте тривогу. 3:23 запуск крилатих ракет х-101 над каспійським морем."
2022-05-06,запуск ракет х-22 двома ту-22м3 над чорним морем поблизу кримського півострова.    запуск ракет калібр з акваторії чорного моря.    запуск ракет. можливі тривоги по областях.
2022-05-07,"за словами міноборони рф, 8-го травня підрозділи зсу завдадуть ударів отр точка-у по місцях скупчення людей у населених пунктах львівської та волинської областей, як це вже було на залізничному вокзалі в краматорську.   беларускі гаюн повідомляє, що 6-го травня по трасі м-1 недалеко від баранович у бік бреста стояла колона техніки. серед техніки були можливо 2 точки у, також кілька вантажних автомобілів. також зіл і легковий автомобіль рухалися з боку бреста в бік цієї колони у отрк точка-у максимальна дальність - 120 км. у вдосконаленої версії іскандер може досягати - 500 км. на карті позначені приблизні зони, куди можуть діставати снаряди як точки-у, так і іскандера.  за будь-яких обставин краще не ігнорувати повітряну тривогу і не перебувати біля інфраструктурних об'єктів.   upd. на підльоті до криму вимкнув транспондер.  вантажний іл-76мд зараз над акваторією чорного моря. може летіти в напрямку криму або придністров'я. авіація"
2022-05-08," ймовірний запуск ракет авіацією з боку білорусі. запуск ракет калібр з акваторії чорного моря. запуск ракет з ту-95мс, над акваторією каспійського моря.  підвищена активність стратегічної авіації рф у радіо-ефірі. імовірний швидкий виліт ту-95мс і запуск крилатих ракет над акваторією каспійського моря. запуск ракет з ту-95мс, над акваторією каспійського моря. у стратегічної авіації проблеми зі зв'язком зараз.  активність стратегічної авіації рф у радіо-ефірі. імовірний швидкий виліт ту-95мс і запуск крилатих ракет над акваторією каспійського моря."
2022-05-09," йде ракетна атака по одесі - ок південь запуск ракет з акваторії чорного моря. зараз пролітає над територією. 19:38 запуск ракети з ту-95мс над акваторією каспію.  - це можуть бути х-101, х-55 і модифікації. - ймовірно цілі на заході україни. - варто чекати тривалих тривог, якщо не буде збиття. запуск ракет з акваторії чорного моря. сьогодні о 21:45 байден підпише закон про ленд-ліз."
2022-05-10,"припущу, що вектори запуску ракет такі.  upd. вибухи в сумській області. залишається висока ймовірність нанесення ударів по північно-західних областях україни з білорусі за допомогою точок-у/іскандерів, а також рсзв смерч. не ігноруйте сигнали тривоги.  один із фрегатів проєкту буревісник повернувся в порт севастополя.  upd. адмірал макаров  активність стратегічної авіації рф у радіо-ефірі."
2022-05-11," активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин. запуск ракет з акваторії чорного моря. upd. помилкове спрацьовування. запуск ракет з акваторії чорного моря. запуск ракет, імовірно х-101/х-55  активність стратегічної авіації рф у радіо-ефірі. імовірний виліт бомбардувальників ту-95мс або ту-22м3 цієї ночі."
2022-05-12," вибухи в запоріжжі.  21:23 запуск ракет стратегічною авіацією рф над акваторією каспійського моря. імовірно з ту-95мс. ракети х-101/х-55 запуски рсзв у бік миколаєва.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин.  upd. вибухи в полтавській області.  фрегат проєкту буревісник, імовірно адмірал макаров, повертається в порт севастополя для поповнення боєприпасів сьогодні вранці. відео, імовірно від 9-го травня, на якому з ту-22м запускають старі радянські ракети х-22 над територією україни. 00:34 запуск ракет групою ту-22м3 upd. приліт у чернігівській області."
2022-05-13, тривоги в більшості областей. про запуски ракет інформації немає.  запуск ракет стратегічною авіацією рф з ту-95мс. ракети х-101/х-55
2022-05-14," повідомляють про те, що судно тилового забезпечення всеволод бобров зайшло в порт севастополя, без видимих пошкоджень.  активність стратегічної авіації рф у районі каспію. імовірні тривоги по країні протягом наступних 1,5 годин."
2022-05-15,"21:26 повторний звіт про запуск ракет групою бомбардувальників.  імовірно ту-22м3. лідер групи 22841.  21:11 звіт про успішний запуск ракет стратегічною авіацією рф. карта військових дій на 15 травня. - незначні просування російських військ у районі ізюма. зайняли довгеньке і пару сіл, з яких ми відступили. -в районі попасної та рубіжного без змін.  -у харківській області триває витіснення противника на лінію кордону.  румунський розвідувальний дрон camcopter s-100 біля берега румунії та в нейтральних водах здійснює патрулювання. може використовуватися для пошуку субмарин і флоту. авіація  4 вибухи у львові.  upd. п'ять вибухів. імовірно запуски з акваторії чорного моря флотом рф. тривоги в одеській, дніпропетровській та запорізькій областях.  обстріли авіацією чернігівської та сумської областей."
2022-05-16," розвідувальні місії союзників у районі чорного моря за сьогодні: - northrop grumman rq-4b впс сша (рег. 11-2046, позивний forte12) виконував місію над західною частиною чорного моря. - boeing e-3a нато (реєстраційний номер lx-n90451) перебував над дельтою дунаю. - boeing rc-135w впс великої британії (рег. zz664) виконував місію зі спостереження за східною частиною чорного моря. перші реальні досягнення зброї поставленої союзниками під ізюмом. склад бк росіян. був. пряме влучання з м777. при детонації знищено: до роти окупантів; 7 бмп; 1 танк. працює оув слобода повідомлення про запуски ракет публікуються, тільки якщо є фактичні підтвердження про запуски із землі/повітря/моря.   повідомлення можуть містити помилки та неточності.  інформацію на каналі не слід сприймати як єдино вірну і 100% підтверджену.   запуски авіацією і флотом можуть відбуватися без фіксації і в умовах радіомовчання - в таких випадках написати попередження не представляється можливим.  обстріли артилерією, точками-у/іскандерами, мінометними системами фіксуються вкрай рідко, тому повідомлень може не бути.  цей канал не є офіційним засобом оповіщення населення. не ігноруйте сигнали тривоги. запуск ракет з акваторії чорного моря"
2022-05-17,"в одеській області вибухи, борт 40363 звітує про виконання одного із завдань.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин.  повідомляють про вибухи в миколаєві. найімовірніше, обстріл рсзв.  стратегічна авіація рф піднята в повітря.  виліт імовірно ту-22м3 з аеродрому шайківка. імовірні тривоги центр і східні області. запуск був проведений з ту-95мс. ракети х-101. ймовірно цілі на заході україни. львів і область - будьте готові. є ризик прильотів по східних областях.  upd. проліт центральних, імовірно київської і далі на захід. зараз у небі три борти: 56738-ий, 56733-ий, 21323-ий. доповідають про успішний запуск ракет.  вибухи у львові.  upd. повідомляють про 8-ми вибухів. можливо частина з них робота ппо.  стратегічну авіацію рф піднято в повітря.  upd. виліт ту-95мс з аеропорту енгельс-2."
2022-05-18," повідомляють про вибухи в харкові.  борт 66566 доповідає диспетчеру в саратов про успішний запуск. диспетчер не відповідає. запуск ракет з акваторії чорного моря. вінниця, збиття ракети ппо.  львівська область, будьте готові.  upd. повідомляють про вибухи в області. повідомлення про три ракети над вінницькою областю. за умови запуску ракет о 18:33 і швидкості польоту ракет х-101в 900км/год, відстань у 1957 км (яворівський полігон) долає за 2 години 10 хвилин. запуск ракет з акваторії чорного моря.  активність авіації вмф рф у криму. можливі вильоти."
2022-05-19," запуск ракет з ту-95мс. ракети х-101 upd. західним і центральним областям, найімовірніше, зараз нічого не загрожує."
2022-05-20," у небі рф зараз щонайменше 3 борти, включно з одним ту-22м3.  upd. ту-22м3 бортовий номер rf-94241 так само 66567  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин.  повідомляють про вибухи в харкові та миколаєві. по дк у лозовій харківської області сьогодні запустили ракетою х-22. ще один проліт бомбардувальників у районі донецької області. імовірні запуски ракет.  повідомляють про вибухи в одеській і харківській областях.  збиття однієї з ракет у центральних областях. запуск ракет х-101/х-55 з ту-95мс. ймовірні цілі в центральних і західних областях країни.  повідомляють про ракетний удар в одеській області, без значних пошкоджень.  активність у радіо-ефірі аеропорту шайківка. ймовірно у східних областях працюють ту-22м3 запуск ракет з акваторії чорного моря.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин."
2022-05-21, повідомляють про вибухи в миколаївській області. запуск ракет з акваторії чорного моря.
2022-05-22," чорноморський флот у режимі приймання-передавання повідомлень. можливі переміщення флоту та/або обстріли ракетами типу калібр. запуск ракет з акваторії чорного моря.  upd. миколаївська, одеська.  миколаїв обстрілюють касетними снарядами. запуск ракет бомбардувальниками з району донецької області.  upd. припущу, що тривоги центр, схід, південь. миколаїв під обстрілом рсзв з боку херсона. запуск ракет з акваторії чорного моря. запуск ракет з акваторії чорного моря. миколаївська область.  передача повідомлень чорноморському флоту рф із севастополя. ймовірні запуски ракет калібр або переміщення в чорному морі. запуск ракет з району донецької області, ймовірно х-22.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин."
2022-05-23,"центр+схід - пуски ракет дальньою авіацією рф. харківська область під обстрілами.  данія передасть україні протикорабельні ракети harpoon і пускові установки до них, для захисту берегової лінії - міністр оборони сша ллойд остін   чф рф формує групу кораблів для проведення операції в чорному морі. запуск ракет з акваторії чорного моря.  upd. миколаївська область.  працює дальня авіація рф. ракети х-101/х-55. пуски з бомбардувальника ту-95мс з району каспійського моря або архангельської області рф.  активність стратегічної авіації рф у радіо-ефірі. імовірні тривоги по країні протягом наступних 1,5 годин.  вибухи в дніпропетровській області.  спроба зупинити просування окупантів підривом греблі світлодарська, донецької області. зараз і далі - обстріли північних областей україни з територій рф і білорусі. ймовірно рсзв та/або точки-у, іскандери.  повідомляють про вибухи в коростені, житомирської області. запуск ракет бомбардувальниками з району донецької області. у напрямку полтави, харкова, дніпра, сум. на підтримку корабельного угруповання рф у чорному морі з севастопольської бухти висунувся фрегат адмірал макаров. вірогідність ракетних ударів підвищується - ок південь запуск ракет бомбардувальниками з району донецької області.  імовірний запуск ракет підводними човнами варшав'янка"
2022-05-24," миколаїв під обстрілом рсзв.  5 турецьких бпла над сирійським регіоном. ймовірно, північний захід сирії, який відходить туреччині, це ціна вступу швеції та фінляндії до нато. ‼ ймовірні запуски ракет з території білорусі. західні області - будьте готові.  лиман донецької області оточений із трьох боків силами окупантів. учора ту-95мс вкс рф і hong-6k впс китаю провели 13-годинне спільне патрулювання над японським і східно-китайським морями, попутно порушивши повітряні кордони південної кореї.  тривоги в західних областях. над чорним морем авіація рф. оперативна ситуація на фронті від генштабу на 24.05: ворог продовжує наступати на східному напрямку, основна активність у районі сєвєродонецька та лисичанська.  є ризик обстрілів областей, що межують із білоруссю. у брест переміщено дивізіон іскандер-м.  харківська та сумська області під обстрілом з використанням гранатометів і авіації. спроби ворога закріпитися на позиціях, відтягнути війська на себе.  слов'янськ - ворог готується наступати, використовуючи ствольну артилерію.  лиманський напрямок - ймовірні спроби перетнути річку сіверський донець, під прикриттям реактивної артилерії.  на запорізькому напрямку - підготовка до ворожого наступу.   криворізький та миколаївський напрямок - ворог продовжує обстрілювати українські позиції.  чорноморська та азовська операційні зони - без змін.  у херсоні повідомляють про вибухи. запуск ракет із району донецької області.  активність стратегічної авіації рф у радіо-ефірі. ймовірні тривоги по країні протягом наступних 1,5 годин.  upd. станом на 02:00 літаків у небі немає."
